Security Code,Issuer Name,Symbol,Security Name,Status,Group,Face Value,ISIN No,Industry,Market Capitalisation
512479,VIRYA RESOURCES LIMITED,VIRYA,Virya Resources Ltd,Active,XT,10,INE661K01010,Residential- Commercial Projects,95.75
512485,Dhanlaxmi Cotex Ltd.,DHANCOT,DHANLAXMI COTEX LTD.,Active,XT,10,INE977F01010,Trading & Distributors,47.73
512489,Oasis Securities Limited,OASISEC,OASIS SECURITIES LTD.,Active,X,10,INE876A01015,Non Banking Financial Company (NBFC),58.21
512493,Garnet International Limited,GARNETINT,GARNET INTERNATIONAL LTD.,Active,XT,10,INE590B01010,Investment Company,251.33
512499,Shalimar Productions Ltd.,SHALPRO,SHALIMAR PRODUCTIONS LTD.,Active,X,1,INE435E01020,Media & Entertainment,61.03
512505,Meenakshi Steel Industries Ltd.,MEENST,MEENAKSHI STEEL INDUSTRIES LTD.,Active,Z,10,INE721V01019,Iron & Steel Products,
512511,Varun Mercantile Ltd.,VARUNME,VARUN MERCANTILE LTD.,Active,XT,10,INE442U01014,Diversified Commercial Services,0.2
512517,Vinayak Vanijya Ltd.,VINVANI,VINAYAK VANIJYA LTD.,Active,XT,10,INE132V01019,Diversified Commercial Services,
512519,Donear Industries Ltd,DONEAR,DONEAR INDUSTRIES LTD.-$,Active,T,2,INE668D01028,Other Textile Products,586.3
512527,Super Sales India Ltd.,SUPER,SUPER SALES INDIA LTD.-$,Active,X,10,INE091C01017,Other Textile Products,408.82
512529,Sequent Scientific Limited,SEQUENT,SEQUENT SCIENTIFIC LTD.,Active,T,2,INE807F01027,Pharmaceuticals,5246.21
512531,State Trading Corporation of India,STCINDIA,STATE TRADING CORPORATION OF INDIA LTD.,Active,B,10,INE655A01013,Trading & Distributors,924.9
512553,Zenith Exports Ltd.,ZENITHEXPO,ZENITH EXPORTS LTD.,Active,T,10,INE058B01018,Leather And Leather Products,178.08
512559,Kohinoor Foods Ltd,KOHINOOR,KOHINOOR FOODS LTD.,Active,B,10,INE080B01012,Other Agricultural Products,150.33
512565,NEELKANTH LIMITED,NEELKANTH,Neelkanth Ltd-$,Active,XT,10,INE581D01015,Trading & Distributors,19.09
512573,Avanti Feeds ltd.,AVANTIFEED,AVANTI FEEDS LTD.-$,Active,A,1,INE871C01038,Animal Feed,7919.96
512587,Zodiac-JRD-MKJ Ltd.,ZODJRDMKJ,ZODIAC-JRD-MKJ LTD.,Active,XT,10,INE077B01018,Gems- Jewellery And Watches,45.54
512589,Sita Enterprises LTD.,SITAENT,SITA ENTERPRISES LTD.,Active,X,10,INE579D01019,Trading & Distributors,24.57
512591,Pulsar International Limited,PULSRIN,PULSAR INTERNATIONAL LTD.,Active,X,1,INE183U01022,Trading & Distributors,129.86
